0:	1.094903927878E-05
1:	1.929226164066E-05
2:	2.677103111637E-05
3:	3.503584957798E-05
4:	4.409471512190E-05
5:	5.204057379160E-05
6:	5.953664367553E-05
7:	6.628369010286E-05
8:	7.233299402287E-05
9:	7.900524360593E-05
10:	8.507044549333E-05
11:	9.186696843244E-05
12:	9.927055361914E-05
13:	1.047388868756E-04
14:	1.091503654607E-04
15:	1.144337729784E-04
16:	1.204042127938E-04
17:	1.270985521842E-04
18:	1.334132248303E-04
19:	1.388170494465E-04
20:	1.437435857952E-04
21:	1.493070449214E-04
22:	1.561954413773E-04
23:	1.638643880142E-04
24:	1.707967603579E-04
25:	1.766284549376E-04
26:	1.817839511205E-04
27:	1.873904839158E-04
28:	1.940146903507E-04
29:	2.010619064094E-04
30:	2.077375538647E-04
31:	2.136339026038E-04
32:	2.191669336753E-04
33:	2.250229590572E-04
34:	2.314751764061E-04
35:	2.382318489254E-04
36:	2.447736042086E-04
37:	2.508132020012E-04
38:	2.565572794992E-04
39:	2.625056658871E-04
40:	2.689004759304E-04
41:	2.755435707513E-04
42:	2.820214140229E-04
43:	2.881275722757E-04
44:	2.941410348285E-04
45:	3.004893078469E-04
46:	3.070858947467E-04
47:	3.138383035548E-04
48:	3.205275279470E-04
49:	3.270274028182E-04
50:	3.334219800308E-04
51:	3.399010456633E-04
52:	3.465780173428E-04
53:	3.533782437444E-04
54:	3.601208154578E-04
55:	3.667233104352E-04
56:	3.732640470844E-04
57:	3.798714024015E-04
58:	3.866119659506E-04
59:	3.934329433832E-04
60:	4.002350033261E-04
61:	4.069531278219E-04
62:	4.136234347243E-04
63:	4.203429562040E-04
64:	4.271703946870E-04
65:	4.340719606262E-04
66:	4.409654357005E-04
67:	4.478123737499E-04
68:	4.546502314042E-04
69:	4.615395737346E-04
70:	4.685095627792E-04
71:	4.755402333103E-04
72:	4.826256481465E-04
73:	4.896944155917E-04
74:	4.967612330802E-04
75:	5.038698436692E-04
76:	5.110515630804E-04
77:	5.182861932553E-04
78:	5.255340947770E-04
79:	5.327738472261E-04
80:	5.400247173384E-04
81:	5.473144701682E-04
82:	5.546557367779E-04
83:	5.620375741273E-04
84:	5.694406572729E-04
85:	5.768493865617E-04
86:	5.842669634148E-04
87:	5.917160888202E-04
88:	5.992113146931E-04
89:	6.067437352613E-04
90:	6.142944912426E-04
91:	6.218539201654E-04
92:	6.294295890257E-04
93:	6.370363989845E-04
94:	6.446777842939E-04
95:	6.523502524942E-04
96:	6.600435590371E-04
97:	6.677527562715E-04
98:	6.754777859896E-04
99:	6.832286599092E-04
100:	6.910131778568E-04
101:	6.988273235038E-04
102:	7.066628313623E-04
103:	7.145121926442E-04
104:	7.223846623674E-04
105:	7.302837329917E-04
106:	7.382149342448E-04
107:	7.461743080057E-04
108:	7.541627855971E-04
109:	7.621765253134E-04
110:	7.702170405537E-04
111:	7.782859611325E-04
112:	7.863891660236E-04
113:	7.945215329528E-04
114:	8.026803843677E-04
115:	8.108620531857E-04
116:	8.190689259209E-04
117:	8.273034472950E-04
118:	8.355664904229E-04
119:	8.438552031294E-04
120:	8.521688869223E-04
121:	8.605037000962E-04
122:	8.688591187820E-04
123:	8.772366563790E-04
124:	8.856379427016E-04
125:	8.940616971813E-04
126:	9.025046601892E-04
127:	9.109638631344E-04
128:	9.194411686622E-04
129:	9.279375663027E-04
130:	9.364513680339E-04
131:	9.449826320633E-04
132:	9.535279241391E-04
133:	9.620892233215E-04
134:	9.706629789434E-04
135:	9.792502969503E-04
136:	9.878511773422E-04
137:	9.964668424800E-04
138:	1.005091937259E-03
139:	1.013726694509E-03
140:	1.022371812724E-03
141:	1.031026593409E-03
142:	1.039690687321E-03
